신살,기본내용,조건(남),조건(여),조건(기타)
음욕(淫慾),\n▷ 일명 욕망살(慾望殺)로서 일지 배우자궁에 비견이 자리하여 간여지동처럼 배우자를 배척하고 이성을 동경하는 기운 \n▷ 음성적 호기심이 강하고 색정적 기질이 강한 경우를 의미하나. 원초적 건강함의 바로미터로서 생명보존의 원동력 ​\n▷ 음욕살이 있는 사주가 건강문제 등으로 음욕을 해결하지 못하면 관음증 및 변태적 성향 \n▷ 음욕살은 기본적으로 자신과 기(氣)가 맞는 경우에만 강한 성적 호기심을 느끼지만 그 외엔 불감증이거나 무덤덤한 편임. 하지만 자신과 맞는 이성적 상대를 끊임없이 동경하므로 부부갈등 원인 ​\n▷ 다만 음욕살(욕망살)은 남명에겐 진취적 발상의 근원이나. 여명에겐 질투심이 강하고 원망을 잘하여 구설,\n▷ 음욕살이 중첩되면 남명은 정상적인 부부관계 유지가 곤란하여 해로 불가,\n▷ 음욕살이 중첩되면 여명은 일부종사 불가하며.,\n
음인(陰刃),\n▷ 정사(丁巳) 기사(己巳) 계해(癸亥)일주 \n▷ 일간(음간)이 사생지의 제왕지에 놓이는 것을 말함 \n▷ 양인살은 일간의 극왕한 기운이 정신적으로 표출된 살이라면. 음인살은 기술적으로 발현된 직업성을 의미함 \n▷ 양인살은 불화와 반목. 파괴와 이탈. 대립과 갈등. 스케일이 큰 반면. 음인살은 주관 확고. 자립심. 자존심. 정체성 분명. 생존의지가 강한 특성을 나타냄(양인살보다 훨씬 부드러움) ​\n▷ 양인살의 직업은 군검경. 의료. 생살여탈을 다루는 직업. 음인살의 직업은 칼 가위 전기불꽃 공업기술 디자인 섬유 컴퓨터 등의 기술직과 무용 기예 역학 등 직업적성 \n▷ 음인살이 기신으로 흉신이면 양인살의 흉포성이 표출됨,,,\n
의처의부(疑妻疑夫),\n▷ 일주 또는 일간 대비 암명합 구조 \n▷ 의학적 용어로 부정망상(不貞妄想 Infidelity delusion). 셰익스피어의 ‘4대비극’ 중 오셀로증후군(Othello syndrome) \n▷ 원국에 합이 많거나 일간이 암명합하는 구조는 대체로 다정다감하며. 의부.의처증이 있는 편. 일탈유의. 이혼곤란 ​\n▷ 부정망상은 배우자가 불륜을 저질러 자신이 피해를 받고 있다고 비합리적으로 생각하는 일종의 정신병으로서 불치병을 뜻함. 대개 본인의 과거행적을 통해 상대방도 의례 그럴 것이라고 추측 단정함 \n▷ 진정으로 상대방을 이해하는 것이 중요하나 대부분 정신병적 증상으로 발전하여 치유가 불가능하므로 이혼하는 경우가 많음 \n▷ 배우자에게 집착하고 행실을 의심하여 끊임없이 괴롭힘 ​\n▷ 감정적으로 한번 틀어지면 관계회복 곤란할 정도로 악화 ​\n▷ 남녀 모두 일주를 기준으로 분석하며 중첩되면 배증,의처 (남자) 甲午 丙戌 戊辰 庚辰 壬戌,의부 (여자) 乙巳 丁亥 己亥 辛巳 癸亥,\n
이방(移方),\n▷ 이방살(移方殺)은 태백살(太白殺)로서 원래 의미는 서방의 금기(金氣)로 상징되는 숙살지기(肅殺之氣)로서 생기(生氣)를 제거하여 고독과 병마에 시달리는 빈천지명의 흉살로 취급한다. 그러나 최근에는 신살의 본래 의미보다 이사와 여행 등의 길한 방향을 찾기 위한 기제로 응용된다. \n▷ 이렇게 태백살의 용도가 변화하게 된 기저에는 무속인들의 살풀이용 경문이라 할수있는 『백살제해경(百殺除解經)』 의 내용이 한 몫 한 듯 보인다. 책 내용에 “---일일이일 동방살. 삼일사일 남방살. 오일육일 서방살. 칠일팔일 북방살. 구일십일 중앙살---”이라는 구절이 등장하는데. 중앙의 음력으로 구일과 십일이 흔히 이사의 길일로 간주되어 ‘손 없는 날’로 취급된다. 무손일(無損日)로서 상천일(上天日)이라고도 한다. \n▷ ‘손’의 개념은 확실하지 않지만 추측해 보면 ‘손해를 끼치는 귀신손님’이라는 뜻에서 손(損) 내지는 객(客)의 의미를 담고 있을 것이라 사료된다. 어쨌든 태백살은 음력을 기준으로 한 방위에 이틀 간격으로 머물며 팔방으로 움직인다. \n▷ 일반적으로 음력일의 ‘0’과 ‘9’의 수가 있는 날을 길일로 보는 경향이 있으나 해당 방향이 태백살의 일자와 겹치지 않는다면 어느 방향도 무난하다. 가령 정동으로 이사한다면 아래 도표에서 보는 것처럼 음력 1일. 11일. 21일의 날짜만 피하면 되는 것이지 굳이 0일과 9일의 날을 고집할 필요는 없다. <태백살 조견표> 정동 1. 11. 21일 (음력)  동남 2. 12. 22일 (음력) 정남 3. 13. 23일 (음력)  남서 4. 14. 24일 (음력) 정서 5. 15. 25일 (음력)  서북 6. 16. 26일 (음력) 정북 7. 17. 27일 (음력)  북동 8. 18. 28일 (음력) 중앙 (손 없는 날)  9. 19. 29. 10. 20. 30 (음력),,,\n
이전최화(利剪摧花),\n▷ 기문둔갑(奇門遁甲) 천간대조법 \n▷ 이전최화(利剪摧花)-‘날카로울이’(利).‘자를전’(剪).‘꺾을최’(摧).‘꽃화’(花)로서 날카로운 금속으로 꽃을 자르고꺾는 형상 ​\n▷ 을목(乙木)은 신체구조상 뇌(腦) 및 치아(齒). 허리(腰)를 상징하므로 신금(辛金)의 바늘과 경금(庚金)의 둔탁한 쇠뭉치로 해당 신체 부위를 치는 자형 ​\n▷ 반드시 보험가입이 필수. 그러나 활인업 및 의료업를 비롯하여 살생대권처럼 센 직업 등에 업상대체하면 피흉함 \n▷ 을유(乙酉) 기묘(己卯)일주처럼 칠살도화(七殺桃花)는 칠살의 살기를 살인상생(殺印相生)으로 화살위권(化殺爲權) 하거나. 식상제살(食傷制殺)로 제살제복(制殺制覆)해야 영육이 편안함,,,\n▷ 을목(乙木) 일간이 주변의 금기(金氣)에 의해 심하게 극설 당하면 정신적으로 편두통 및 정서불안에 일어나 불면증과 충동적 행동에 시달릴 수 있고. 육체적으로 신경계를 비롯하여 치아 및 간장 질환 등의 증세에 취약함 ​\n▷ 특히 백호살이 중첩되면 간질병과 뇌질환 증세에 취약\n
일귀(日貴),\n▷ 사주의 일주가 천을귀인을 보는 것 \n▷ 정화(丁火)일간이 밤에 태어나면 야귀(夜貴)라 하여 주귀(晝貴)보다 귀명. 반면 계수(癸水)일간이 낮에 태어나면 주귀(晝貴)라 하여 귀명 \n▷ 정유(丁酉) 정해(丁亥) 계묘(癸卯) 계사(癸巳)일주로서 천을귀인 일주 중에서도 네 개를 일귀 일생이라고 함 \n▷ 후원성이 강해 곤경에 처할 때마다 귀인의 도움으로 구제 받는 천우신조의 길살 \n▷ 여명의 일귀는 미모이면서 심성이 곱고 착해 호감 인상 \n▷ 충형해파 및 공망이 되면 길신작용 기대난망,,,\n
일덕(日德),\n▷ 일덕(일)은 일귀(일)과 마찬가지로 평화와 자비의 날로서 매사 순탄하고 순성(順成)하여 손(損)이 없는 길명(날) ​\n▷ 일덕(일)은 갑인(甲寅) 병진(丙辰) 무진(戊辰) 경진(庚辰) 임술(壬戌)일주(일)에 해당 \n▷ 갑(甲)은 인(寅)의 건록. 병(丙)은 진중(辰中)관성. 무(戊)는 진중(辰中)재성. 경(庚)은 진중(辰中)재인. 임(壬)은 술중(戌中)재살인이 모두 있음 ​\n▷ 일주 일덕은 인정스럽고. 사상건전. 자수성가. 진취적 기상. 중생을 계도하고 계몽하는 통솔력. 자비심. 재복 \n▷ 암록이 길성으로 작용하나 충형해파를 만나면 기대난망,,,\n
일인(日刃),\n▷ 음양간 양인살 가운데 양일(陽日) 일생 일주가 양인에 해당되는 것을 말하며 양인 작용이 강함(일인격日刃格. 양인격羊刃格 사주라고 함) \n▷ 임자(壬子) 병오(丙午) 무오(戊午)일주 \n▷ 십이운성의 제왕(帝旺)지로 권력과 형(刑)을 주관하는 성분 \n▷ 일관된 목표의 명확성. 극난극복. 일도양단. 자신감. 경쟁심. 독불장군. 자기중심적. 외고집의 성향으로 마찰과 구설수 ​\n▷ 경쟁구도에서 생존할 수 있는 기운이 강하고 시비수가 상존 ​\n▷ 배우자를 극하고 사고나 조난 등에 취약,,,\n▷ 칠살(七殺)이 함께하면 살생대권을 쥐는 지도자의 사주 \n▷ 신약사주에서 일인일(日刃日)은 일간의 길신으로 작용\n
장군부(將軍附),\n▷ 죄를 지으면 그 대가를 치르게 된다는 흉살로서 자암살(紫暗殺)이라고도 하며. 예전에 장군들이 죽인 병사들의 원혼이 작용하여 흉기 또는 사고수로 몸에 큰 수술 및 상처를 남길 수 있다는 악살 \n▷ 병오(丙午) 정미(丁未) 무오(戊午) 기미(己未) 임자(壬子) 계축(癸丑)일주 ​\n▷ 장군전 또는 장군부살이 있으면 용맹하여 두려움을 모르고. 일종의 편집증적 아집으로 좋아하는 것에만 몰두하려는 성향. 아울러 고수익 고위험의 도박적 기질이 있어 베팅 심리가 강함 ​\n▷ 군인 경찰 사법 등의 직업을 가지면 피흉하고 명예획득 \n▷ 양인살과 음인살의 구성 원리와 동일,,,\n▷ 장군살 일주에 화(火) 또는 수(水)가 태과하여 일간이 불 또는 물에 빠진 사주는 빙의(憑依) 현상 즉. 공황장애(恐慌障碍)로 조울증에 시달리는 경우가 많아 접신에 따른 무속인이 될 수도 있음 ​\n▷ 장군전 또는 장군부살이 충형하면 갑작스런 사고로 수술수\n
재고귀인(財庫貴人),\n▷ 지지에 재의 사고를 깔고 있어 부귀하게 된다는 길신 \n▷ 갑진(甲辰) 병술(丙戌) 정축(丁丑) 무술(戊戌) 기축(己丑) 신미(辛未) 임술(壬戌)일주. 또는 일간의 해당 지지 및 행운 \n▷ 출신이 빈천해도 자기 대에 부귀 발전하여 공명을 달성 \n▷ 사고(四庫)의 진술축미(辰戌丑未) 가운데 진술(辰戌)은 아수라도(阿修羅道). 축미(丑未)는 귀도(鬼道)로서 어느 쪽도 북새통을 연상하게 하는 투기성 발복을 통해 재물 축적하는 것이 재고귀인의 특성임 \n▷ 특히 축미(丑未)는 유축합(酉丑合)과 묘미합(卯未合)으로서 동서(東西)의 대칭합이자 귀신의 길(鬼道)이기 때문에 사업방향을 선택 때 피해야 한다. 특히 학생의 공부방 동선이 귀도에 놓이면 공부에 방해가 있다. 그러나 활인종교업은 귀도의 동선에서 발복한다.,,,\n
정록(正祿),\n▷ 12운성의 건록(建祿)에 해당하며 행복과 복록을 의미 \n▷ 일간의 건록지에 해당하며 지장간의 본기 암장을 말함. 사고(四庫)의 진술축미(辰戌丑未)는 방위상 간방(間方)에 해당되어 제외하고. 토(土) 일간은 화토동법(火土同法)에 의해 사오(巳午)를 정록으로 삼음 ​\n▷ 갑인(甲寅) 을묘(乙卯) 경신(庚申) 신유(辛酉)일주를 정록이라고 함 \n▷ 사주가 청기한 가운데 정록이 있으면 관록과 의식주가 풍요하고. 위인이 건전하고 자립심이 강하여 자수성가함 \n▷ 대체로 정록이면 부모의 유산을 받지 못할 가능성이 높음 \n▷ 정록이 충형해파 하면 무망하며. 사지(四支) 정록이면 흉성,,,\n
직방(直方),\n▷ 직방살(直方殺)은 궁합을 볼 때 참고하는 살이다. 이는 각각의 해당하는 주중의 지지가 원진관계에 놓인 경우를 말한다. 각각의 연지와 연지. 월지와 월지. 일지와 일지. 시지와 시지가 원진이면 해당 육친궁은 물론 건강에도 흉화가 크기 때문에 피하는 것이 좋다. \n▷ 근묘화실(根苗花實)의 육친궁에 따라 연지의 원진은 부모. 월지는 형제자매. 일지는 배우자. 시지는 자식과의 관계가 나빠진다. 그럼에도 직방살 궁합은 묘하게 끌리는 작용에 의해 주위의 만류에도 불구하고 합일하나 결과는 기대난망이다. \n▷ 특히 직방살 중에서도 월지궁합이 원진관계에 놓인 것을 가장 꺼리므로 ‘하늘조차 인정하지 않는다’하여 불혼개폐살(不婚開閉殺)이라고 한다. 불혼개폐살 궁합은 결혼뿐만 아니라 사업파트너. 금전거래처. 교우관계. 이성 관계에서도 나쁜 결과를 미치기 때문에 피해야 한다.,,,\n
진신(進神),\n▷ 60갑자를 사계절의 순환과 비교하여 15위마다 4등분하면. 각위의 처음에 해당하는 60갑자를 진신이라고 함 \n▷ 갑자(甲子)는 1위. 기묘(己卯)는 16위. 갑오(甲午)는 31위. 기유(己酉)는 46위로서 진신이 됨 \n▷ 갑오(甲午) 갑자(甲子) 기묘(己卯) 기유(己酉)일주로서 교신(交神) 교신(退身) 복신(伏神)이 끝나면서 시작되는 육십갑자 \n▷ 자신이 좋아하는 일에만 전력. 냉철. 암기력 ​\n▷ 눈치가 빠르고 동정심이 강해 부화뇌동 심리가 강함. 자신의 업무에 최선을 다하며 전력하는 스타일. 다소 방탕하고 색욕적 기운이 강해 한량기질. 개방적이어서 비밀유지 곤란. 성격기복이 심한 편 ​\n▷ 냉철하고 표현력이 뛰어나 무난한 대인관계 유지 \n▷ 방랑의 기운으로 예속을 거부. 하고 싶은 대로 행동하는 경향 \n▷ 교신(交神) 퇴신(退身) 복신(伏神)은 음양차착살과 동일,,,\n
천덕귀인(天德貴人),\n▷ 월덕귀인과 함께 이덕귀인(二德貴人)으로 본인의 전생공덕과 조상의 음덕으로 복을 받는다는 길성 \n▷ 길한 사주는 더욱 길하고. 흉한 사주는 피흉하게 하여 재액을 막아주며 천우신조로 무사무탈 \n▷ 재관운이 좋아 공직에 길하고 재물복 \n▷ 혼사 등의 택일을 볼 때 반드시 천덕일을 참조함 \n▷ 특히 여성과 관련한 택일 등에 적용. 훌륭한 배우자와 가연하고 자식현달 \n▷ 충형해파 또는 공망이 되면 흉신으로 작용 \n▷ 가령 인월(寅月)에 택일한다면 정일(丁日)에 모사하면 피흉 ​\n▷ 천덕귀인은 방합구조. 월덕귀인은 삼합구조(왕지천간양간),,,\n
천라지망(天羅地網),\n▷ 여타의 신살 가운데 가장 강력한 상위개념의 신살로서 천라지망 시기에는 창업금물. 학문 및 정신수양 등의 수성이 중요함 \n▷ 라망살(羅網殺). 하늘과 땅에 그물이 쳐진 형상으로 모든 것이 막히고 갇혀 관재구설 시비 쟁투 송사 구속 감금의 형액이 따름 \n▷ 일지 기준 술해진사(戌 亥 辰 巳) 일생이 술해진사의 행운에 해당 ​\n▷ 술(戌)의 화고(火庫)는 해(亥)의 절(絶)로서 서북의 천라(天羅天門). 진(辰)의 수고(水庫)는 사(巳)의 절(絶)로서 동남의 지망(地網地門) ​\n▷ 이혼소송 별거 육친인연단절 관재구설 신경쇠약 손재수 ​\n▷ 천라지망살은 아래사람이 윗사람을 형무소에 구속하는 하극상이 다반사로서 범인(凡人)이 귀인(貴人)을 극하는 시기 ​\n▷ 천라(天羅)는 경찰 법관 의약종사자 역술인 등 활인업 적성. 특히 종교적으로 천주교 및 역학관련 종사자 많음. 지망(地網)은 치밀한 직종. 회계 첨단산업 정밀기계 기예에 적성을 보임 ​\n▷ 일지가 술해진사(戌 亥 辰 巳)의 천라지망이 아니더라도 대운이 천라지망의 행운에 놓여도 라망의 기운을 떨칠 수 없기 때문에 이 시기에도 가급적 창업보다 수성에 힘써야 함을 암시함,\n▷ 남명의 라망살은 매사가 불여의하고 금전운이 박하며,\n▷ 여명의 라망살은 부연(夫緣)과 자식 복이 없는 암시,\n▷ 대운이나 연운에서 겹치면 대흉 \n▷ 천라지망의 운에서 왕성한 활동을 유지하면 후일 흉사발생 \n▷ 가령 라망 시기에 좌천되면 피흉되어 오히려 길함\n
천록귀인(天祿貴人),\n▷ 일간의 12운성 건록지로서 비견에 해당. 일간과 비교하여 건록의 해당 지지가 있으면 발복 \n▷ 천록은 복록으로 의식주가 유여하고 시험운과 취직운의 길성으로 매사 순성의 기운 \n▷ 행운을 비롯하여 충형해파되거나 공망이면 기대무망 \n▷ 건록이 길신이면 길하나 흉신이면 기대난망,,,\n
천문성(天門星),\n▷ 지지에 미술묘해인유(未 戌 卯 亥 寅 酉)가 두 개 이상 중첩되면 해당. 술해(戌亥)는 하나만 있어도 작용 \n▷ 특히 술해(戌亥)의 천문성이 일지를 기준으로 지지에 중첩되면 역술가 명식이며. 의학과 전체우주 및 종교 분야에 관심이 많음. 특히 천주교 신자 많음 \n▷ 천문성이 있는 사람은 대개 반듯한 용모와 글재주가 있음 \n▷ 두뇌회전이 빠르고 임기응변에 능한 재사(才士)의 기질 있음 \n▷ 신경이 예민하여 신비하고 영험한 것에 관심. 꿈의 적중률이 높고. 직관력과 영감이 뛰어나 운명관련 학문 적성. 지혜총명,,,\n▷ 신약사주에 월지 천문성이거나 월살(月殺)이 있으면 신기(神氣) \n▷ 술해(戌亥) 가운데 사주에서 술(戌)이 진(辰)을 보면 라망살이 되어 천문성 본래의 기운이 떨어짐 \n▷ 원국에 천문살과 현침살이 있으면 역학자로 대성 \n▷ 천권성(天權星) 및 천인성(天刃星)을 만나면 문장가로 대성 ​\n▷ 인성과 함께 있으면 학문적 자질과 문학성이 뛰어남 ​\n▷ 대운지가 천문성인 시기에도 종교적 관심 많아짐\n
천복귀인(天福貴人),\n▷ 천록(天祿)으로 많은 사람의 도움과 신뢰로 축복 받음 \n▷ 천복귀인은 일간기준으로 월지에 놓인 것을 귀하게 여김 \n▷ 일명 공복귀인(公僕貴人)으로 공직종사자는 승진승급에 유리하고 지위상승 및 재복으로 윤택한 생활 ​\n▷ 일간의 천간 정관이 지지의 건록(建祿)지에 놓임 \n▷ 공망 및 충형해파 당하면 천복귀인 기대난망 \n▷ 천복귀인이 주중에 중첩하면 귀함이 없어짐 \n▷ 일간이 신왕하고 정관이 길신이면 천복귀인으로 대길하나. 신약하고 관성이 기신이면 흉사가 속출,,,\n
천을귀인(天乙貴人),\n▷ 청나라 매각성(梅殼成)의 『협기변방서(協紀辨方書)』에서 천을귀인을 길신의 으뜸으로 여김 (天乙其神最尊貴. 所至之處. 一切凶煞隱然而避) \n▷ 계묘(癸卯) 계사(癸巳)일은 주귀(晝貴)라 하여 낮에 태어나야 좋고. 정유(丁酉) 정해(丁亥)일은 야귀(夜貴)라 하여 밤에 태어나야 좋다고 봄 ​\n▷ 일지에 천을귀인이 있는 정유(丁酉) 정해(丁亥) 계묘(癸卯) 계사(癸巳)를 일귀(日貴)라고 함 ​\n▷ 옥당귀인(玉當貴人) 또는 천은귀인(天恩貴人)이라고도 함 ​\n▷ 자시(子時)부터 오시(午時) 사이에 태어난 천을귀인을 양귀인(陽貴人)이라고 하는 반면. 오시(午時)부터 자시(子時) 사이에 태어난 천을귀인을 음귀인(陰貴人)의 옥당귀인이라고 함 \n▷ 일간을 기준으로 주중의 천을귀인을 비교 ​\n▷ 천을귀인은 후원성이 강해 곤경에 처하면 후원자가 생기며. 대체로 심성이 반듯하여 대인관계가 원만하고 정도지향으로 인덕이 있음 \n▷ 주중의 천을귀인에 따라 근묘화실론의 십성심리 긍정작용 ​\n▷ 진술(辰戌)은 괴강과 백호 그리고 천라지망의 산실이기 때문에 천을귀인의 적용이 없음 \n▷ 서낙오(徐樂吾) 등 신살부정 학자들도 천을귀인을 중히 여김,,,​\n▷ 일간이 신쇠(身衰)하고 충형해파 및 공망이 있으면 의기소침. 의타심. 의심증. 과묵함 등으로 천을귀인의 부정심리 ​\n▷ 일간이 신왕(身旺)하고 청기하면 천을귀인 긍정심리 배가 ​\n▷ 행운에서 천을귀인을 만나면 순성. 택일선택의 기준 \n▷ 천을귀인이 건록 또는 제왕과 함께하면 관운대길. 사절(死絶)지에 놓이면 모사불성(謀事不成) \n▷ 양귀인이 양계절생. 음귀인이 음계절생이면 귀인효과 배증 \n▷ 일간기준으로 양음귀인 즉. 양귀(兩貴)를 모두 갖추면 길복 ​\n▷ 천을귀인이 사절(死絶)되거나 충형해파 및 공망되면 길복 감소 \n▷ 사주 원국에 천을귀인이 많으면 무기력과 조울증이 반복됨 \n▷ 일주 천을귀인 사주가 대운에 천을을 놓으면 오히려 복음살이 작용해 되는 일이 없음\n
천의성(天醫星),\n▷ 일명 활인성(活人星)으로 월지의 앞 자에 해당하는 지지를 말함 \n▷ 천의성이 있는 사주는 의사 한의사 약사 간호사 침술사 의료업 종교가 역술인 건강관련업에 종사,,,\n▷ 천의성이 길신이고 희신이면 의약업에 종사할 수 있으나. 흉신이면 의약에 관심 없고.있어도 장롱면허 또는 무면허 의료인 \n▷ 천의성이 백호 괴강 양인이면 육체적 힘을 많이 쓰는 의사가 많고. 간호사. 물리치료. 방사능. 재활계통 근무자 ​\n▷ 천의성이 인성길신이면 종교인. 역술인. 자선사업가. 의대교수 ​\n▷ 사생지의 천의성은 외과. 정형외과. 소아과 의사가 좋고. 사왕지의 천의성은 성형외과. 피부과. 치과의사가 어울리는 반면. 사고의 천의성은 내과. 산부인과. 이비인후과. 한의사 적성\n
천주귀인(天廚貴人),\n▷ 천주(하늘天 부엌廚)는 하늘의 부엌으로 곡간의 풍성함을 의미하며 재복이 트이고 매사길성(每事吉成) \n▷ 무신(戊申) 기유(己酉) 임인(壬寅) 계묘(癸卯)일주 및 지지 \n▷ 일간의 천간식신(食神)이 건록(建祿)지에 놓여(坐) 있는 곳이 천주귀인의 궁 \n▷ 식신생재(食神生財)의 순기능이 있으나 정인(正印)의 길신이 있으면 의식주 풍요. 그러나 길신인성이 없어도 길운 \n▷ 행운(行運)의 천주귀인도 길한 작용하여 만사순탄 ​\n▷ 『연해자평(淵海子平)』과 『명리정종(命理正宗)』 견해차이 있으나 식신의 건록(建祿)을 중시하는 연해자평 설이 유력,,\n▷ 여명의 천주귀인은 요리솜씨가 발군,\n
철사관(鐵蛇關),\n▷ 철사관은 철사 줄이 자신을 휘감듯이 질기고 강한 사슬의 기운이 영육에 고통을 주는 살. 한편. 성욕(性慾)의 바로미터 \n▷ 자신을 볶는 형으로 스스로에게 스트레스를 주어 지나치게 예민하고 신경질적임. 다혈질적 기질에 극단적 성향. 강박관념 강함 \n▷ 자존심이 강하여 대인관계 및 부부관계가 극단으로 치닫기 쉬움 \n▷ 질병에 취약하며 질투심이 강하고 원망을 잘함 ​\n▷ 갑진(甲辰) 병신(丙申) 정미(丁未) 무인(戊寅) 경술(庚戌) 계축(癸丑)일주 \n▷ 희귀성질환 췌장 근무력증 백혈병 신경쇠약 자폐 무기력 등과 관련한 심신쇠약의 암시가 있으므로 사전체크 필요 ​\n▷ 원국에 충형해파가 없으면 정력이 지나쳐 욕정을 주체하기 곤란,,,\n
철쇄개금(鐵鎖開金),\n▷ 일지를 기준으로 묘유술(卯 酉 戌)이 두 개 이상   \n▷ 자물쇠를 여는 열쇠의 의미(쇳대). 해결사 역할 \n▷ 겉으로는 유하게 보여도 내면은 냉정하고 칼 같은 성격. 권위적   ​\n▷ 두뇌회전력이 좋고 통찰력과 선견지명이 뛰어남   \n▷ 철쇄개금 사주는 사람에게 컨설팅 또는 멘토 역할이 주종 ​\n▷ 활인업 교육업 의약업 법조인 IT업종 등 타인에게 위안을 주거나 억울함을 풀어주는 역할의 직업 \n▷ 묘(卯)는 일출지문(日出之門)으로 하루의 일과를 시작하는 시간대인 반면. 유(酉)는 일입지문(日入之門)으로 귀가하는 시간대이다. 술(戌)은 천도(天道)의 관문으로서 하루 동안 모든 영육의 고충을 치유하는 명상의 시간이다. 따라서 철쇄개금이 일지를 기준으로 지지에 중중하면 활인 의학 종교 관련 업상에 연관 짓는 경우를 많이 보게 된다.,,,\n▷ 신미(辛未). 신해(辛亥). 신축(辛丑)일주가 월지에 묘유술(卯酉戌)을 보아도 활인적성\n
취명관(取命關),\n▷ 병약하여 사람이 많이 모인곳에 가면 전염병등에 취약하고. 빙의(憑依) 등으로 정신적 타격을 입을수 있다는 흉살 \n▷ 병진(丙辰) 기해(己亥)일주 \n▷ 특히 소년기에 적용하는 흉살로서 일반적으로 적용 안 함 \n▷ 동착 행운에서 정체성을 상실하여 심신이 피곤하고 무기력해져 의욕이 없어짐 \n▷ 무속에서는 취명관살에 걸린 사람의 눈을 가리고 무릎 꿇게 하여 도지(桃枝) 및 좁쌀 콩 팥 등을 뿌리면서 칼로 귀신을 자르는 흉내를 내며 살풀이 함(살풀이 후에는 돌아보지 말고 가야 함),,,\n
탕화(湯火),\n▷ 전생에 약물 또는 화마로 사망한 혼령들의 환생설 \n▷ 끓는 물 기름 가스 화재 음독 자살충동 총포화기사고 약물중독 식중독 전기사고 교통사고 등의 각종사고에 취약 \n▷ 탕화살이 있으면 편인의 기질표출. 염세적 부정적 사시적 잔소리 우는소리 과민반응 의심증 외골수 자살충동 등 수시로 비관하거나 의기소침 하며 자신을 볶아 자충수를 둠 ​\n▷ 탕화살이 있거나 행운에서 작용하면 부부싸움이 전쟁수준이며. 조열하고 욱하는 폭발적 성격이 되어 부딪침과 후회의 연속 ​\n▷ 화상과 수술 등의 큰 흉터 또는 태점(胎占)과 반점 등 자국이 있을 수 있으나. 이미 열병과 홍역 등을 치루거나 몸에 곰보자국 또는 큰 점 등의 자국이 있으면 피흉 ​\n▷ 탕화살이 있으면 화기 총포 화약 가스 유류업 등의 직업에 불리 ​\n▷ 탕화살은 일지를 기준으로 주중의 해당 지지와 비교하여 판단함. 그러나 탕화살 행운에서도 작용하지만 신강하면 흉화가 약함,,,\n▷ 인목(寅木)은 신경계질환. 임파선. 갑상선. 중풍. 수족이상   오화(午火)는 순환기질환. 심혈관. 안질환. 틱증세. 당뇨. 작파   축토(丑土)는 생식기질환. 하체부실. 내분기질환. 혈액관련질환 ​\n▷ 가령 일지 오화(午火)에 진오축(辰午丑) 탕화살이 원국에 하나 이상 있거나 행운에서 동착하면 탕화 작용함\n
태극귀인(太極貴人),\n▷ 일간을 기준으로 연지와 일지를 살핌 \n▷ 종래의 연지(年支) 주장설은 모순이 많음. 가령 자년(子年)에 태어난 갑을(甲乙) 일간은 모두 태극귀인에 해당한다는 어불성설. 따라서 태극귀인이 연지와 일지에 동시에 자리해야 길복 \n▷ 일간이 신왕한가운데 연지와 일지의 태극귀인은 말년에 복기(福氣)가 집중되어 봉후만호(封候萬戶).말년복록 (末年福祿) \n▷ 태극귀인은 시종(始終)을 주관하는 자리로서 복록 ​\n▷ 후원성이 강해 물심양면으로 자기를 돕는 사람이 많고. 학연으로 많은 문하생을 거느려 교육계에서 입신양명 \n▷ 태극귀인이 충형해파 공망 병존 사절(死絶)되면 받을 줄만 알고 베풀 줄 몰라 인간관계의 단절과 흉화 ​\n▷ 태극귀인의 팔자는 받은 만큼 선행해야 만년길복 <일간 태극귀인의 생성> 甲.乙 감(坎)=子에서 生하고 리(離)=午에서 死 丙.丁 진(震)=卯에서 生하고 태(兌)=酉에서 死 戊.己 辰.戌.丑.未는 정고(正庫)에서 生 庚.辛 간(艮)=寅에서 절(絶)을 만나 寅中戊土에서 절처봉생(絶處逢生) 壬.癸 申에서 生하고 巳에서 絶,,,\n
퇴신(退神),\n▷ 청개구리 신살. 머피신살(murphy). 하면 안 되고 멈추면 됨 \n▷ 두드러져 보이려 깊이 생각하지 않고 일을 잘 벌이는 스타일로 곧 후회함. 튀는 성향 \n▷ 정미(丁未) 정축(丁丑) 임진(壬辰) 임술(壬戌)일주가 해당. 복신을 앞둔 시기이기 때문에 진퇴양난으로 정체되어 실익이 없음. 일을 벌여도 시원치 않는 석연함으로 불안정한 상태가 지속됨 \n▷ 질투심의 화신. 돋보이려는 성향. 독특한 개성과 가치관. 성정이 밝고 천진난만. 결백성. 자존심. 호불호가 분명. 겉보기와 달리 멜랑콜리(melancholy). 선민의식. 공명심 \n▷ 자기자랑을 많이하고.인기를 독점하고 싶은 마음이 강함   \n▷ 어떤일을 속단하여 실행한 일로 뒤늦게 후회를 잘함 ​\n▷ 교신(交神) 퇴신(退身) 복신(伏神)은 음양차착살과 동일,,,\n
