일주,항목,내용,남자,여자,조건,결과,조건식
戊戌,05,팔자에 학예의 별이 있어 학문과 예술에 관련된 분야의 직업이 많습니다. 주로 재물 인연보다는. 명예 인연이 강하므로 조직. 직장길 인연이 쉬울 것을 의미합니다. 조직 직장길의 경우 교단길. 활인업(의.약학 관련업). 전문기술 분야 관련조직. 연구직. 공직 등이 많으며. 사업길의 경우 교육사업. 종교사업. 전문기술 사업 등이 좋습니다. 지지 비견은 대체로 재물 인연을 흐리게 하므로 사업 인연이 약하고. 재물 인연도 약합니다. ,,,수. 화가 고르면. ,상속. 증여 등으로 큰 부자 인연일 경우도 있습니다 ,if (1<nr_oh5<4 && 1<nr_oh2<4){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
戊戌,06,팔자가 숙명적으로 고독을 안고 살아가는 모양입니다. 고로 재주는 있지만. 세속적인 융통성이 없어. 매사에 어려움을 스스로 만드는 형입니다. 옛 글에 이로공명이라는 말이 있는데. 이는 세속과 떨어진 학문. 종교. 전문기술 등에서 성공이 올 것을 말하는 것입니다,,,,,
戊戌,07,괴강이고 높은 산 이니 천문이 들어 높은 차원에서 생각하고 일면 속세를 떠나려는 성향을 비칠 때가 있습니다. 이 사람은 대개 완고하며 책임의식이 강하고. 행동이나 마음의 시비가 분명합니다. 자상으로 창의 글자가 두 개로 겹치므로 과살이라 하는데 몸에 큰 흉터를 지니게 된다는 암시가 있어 중상이나 중병 등으로 수술을 받을 때가 있습니다. 개에게 물리고 몸이 칼이 들어오는 모습이니 활인으로 액을 면해야 하고. 그래서인지 가정보다 종교에 더 관심을 기울이는 사람들이 많습니다,,,,,
戊戌,08,35 戊戌 (辛9 丁3 戊18)</br>墓 태극귀인(太極貴人) 괴강(魁강) 과살(戈殺) 음욕(陰慾)</br></br>신의가 있고 신망이 두터우며. 근면하고 학예(學藝)도 뛰어나다. 완고한 성품에 타인의 일이라면 발 벗고 나서니 자연 가정에는 소홀하게 되고. 입묘(入墓)로 수집에도 일가견이 있다. 산 위의 산이니 태산(泰山)이라. 높은 차원을 생각하고 속세를 떠나려는 기질을 내포한다. 책임 의식이 강하고. 행동이나 마음의 시비가 분명하다. 반음설기(反吟洩氣)의 상은 타인의 행동을 간섭하고 참견하는 경우가 많음을 시사한다.</br>자상(字象)으로는 창(戈)의 글자가 두 개나 겹치므로 다치기 쉽고. 수술하는 경우가 많다고 하며 형제를 잃기도 한다. 창 모양의 뾰족한 쇠붙이에 상신(傷身)하므로. 개에게 물리는 상으로 비유되기도 한다. 활인(活人)해야 액(厄)을 면한다. 양토(陽土)의 비화(比和)로 자만심과 독선적인 경향이 짙은데. 천한 사람들과는 잘 어울리는 특성이 있다. 순할 때는 순하지만 화가 나면 정말 무서운 사람이다. 천문(天門)은 뛰어난 영감(靈感)을. 辛金의 괴강상관(魁광傷官)은 노기(怒氣)를 뜻한다.,처(妻)에게는 매정하고. 고생시키는 편이다. ,여성도 총명하나 고집으로 망하니 자기 수양이 필요하다. 남편 문제로 인한 근심은 면하기 어렵다. 가정보다 종교가 좋고. 타자부양(他子扶養)은 신금(辛金)에 연유한다. 친모봉양(親母奉養)에 어머니의 가슴에 못을 박는 일은 인수고(印綬庫)이기 때문이며. 친정형제가 떠날 사이가 없음은 비겁(比劫)을 동반하는 탓이다 ,,,
戊戌,09,1. 순할 때는 순하지만 화가 나면 정말 무서운 사람이다.,2. 간여지동(干如支同)에 조토(燥土)는 초혼실패(初婚失敗)와 처(妻)의 병치레를 의미한다.,3. 낙태(落胎) 수술을 하기 쉬우며. 지나치면 자궁병(子宮病)에 무자팔자(無子八字) 된다 ,,,
戊戌,10,,男命은 정력가이지만 상대방을 기쁘게 하기 위해 노력하는 스타일은 아니다. 상대방이 단조로움으로 인해 실증을 느낄 수도 있다.,女命은 남성을 기쁘게 할 수 있는 타입으로 적극적인 편이다. 기교도 좋고 명기(名器)의 소유자다 ,,,
戊戌,11,과살(戈殺)로 인한 골절 등을 겪기 쉬우며. 위장병. 신경마비. 대장염. 천식. 고혈압. 간염 등의 질병에 걸릴 우려가 있다.</br>戊: 위(胃). 갈비</br>戌: 명문(命門). 복숭아뼈. 자궁. 폐(肺) ,,,,,
戊戌,12,군인. 경찰. 검찰. 의사. 약사. 정치인. 교육 게통에 입신(立身)하는 경우가 많다. 종교. 신앙에도 인연이 깊으니 목사가 승려가 되기도 한다. 토산품. 부동산. 고서화. 종교서적 등과 인연을 갖기 쉽고. 동업은 피하라고 했다. 친구 잃고 돈 잃는다,,,,,
戊戌,13,◈ 일주론 해석 - 무술 (戊戌)일주 </br></br>무술일생은 비견입묘로 괴강에 과살이 놓였습니다.</br>정화의 인수 화개에 양지로 무리 중에 뛰어난 총명성을 갖추었습니다. 또 상관 신금이 대지라 종교성과 매우 유관 합니다. 이 사람은 신의가 있고 신망이 두터우며 태산의 물상으로 높은 차원을 생각합니다. 그래서 속세를 탈피하려는 성향이 강합니다.</br>행동이나 마음의 시비가 분명한데 상관 월살은 반음설기의 상으로 간섭이나 참견하는 잔소리가 많습니다. 신금의 상관은 일종의 노기를 뜻하여 한번 화가 나면 아주 무섭습니다. 과살은 창의 글자가 겹치는 상의에서 비롯된 것으로 크게 다치거나 수술하는 경우가 있습니다. 그래서 사람을 살려야만 액을 면하는 것입니다. 물상대체가 바로 이런 개념이지요.</br>양토의 비화는 자만심과 독선적인 경향으로 나타나기 쉬운 반면 천한 사람들과도 잘 어울리는 긍적적인 측면이 있습니다. 또 이것은 남명에 처를 다투는 양상이 되고. 여자는 남편을 극하는 유형에 속해 배우자의 인연이 부정적인 형태를 뜁니다. 늘 동거하는 형제가 있기도 합니다.</br>남명의 재성대종은 처에게 매정하고 무관심한 성향을 암시합니다. 화개를 겸간하면 처의 병치레를 뜻하기도 합니다. </br>관성양종도 화개와 겹쳐 여성 또한 남편이 무력하여 가족을 부양해야 할 처지에 놓이기 쉽습니다.</br>무술일생은 남녀를 막론하고 가정보다 종교가 좋습니다. 인수묘궁의 양지는 친모를 봉양하지만 모친의 덕은 없는 상황이고 이따금 어머니를 향한 원망을 표출 할 때가 있습니다. </br>상관 화개는 낙태의 위험성을 경고합니다. ,,,,,
己亥,01,전원의 흙이 초겨울의 기운을 만나 겨울 창고와 같은 역할을 하므로. 평생 기본적인 재복이 따라다니는 운입니다. 세속적인 일에도 적절한 관심과 참여를 하면서 항상 재물을 지니고 살아가며. 소극적이고 조용하게 자신의 실리를 다지는 형입니다.  항상 재물을 유지하고 관리하는 힘이 있으며. 남녀 공히 배우자에게 충실하므로 평탄한 인생을 이루고 사는 성품입니다. 은근. 끈기. 정직 등으로 만인에게 인정을 받습니다,,,팔자에 수가 많고 화가 없으면. ,평생 재복은 있더라도 육친의 부족함이나. 건강이 부실하므로 편고한 삶을 살아 갈수 있습니다. ,if (nr_oh5>2 && nr_oh2<1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,02,부친인연 강하고 모친인연 약할 운입니다. ,남자의 경우 일지 정재는 현량한 아내를 의미하므로 배필 인연이 좋고. 해로 에도 어려움이 없습니다.  자식운 남자는 아들딸 고르게 옵니다,자식운 여자는 배필에 따라 차이가 있습니다,팔자에 화가 있으면. ,부모복이 고릅니다. ,if (nr_oh2>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,02a,,,,여자의 경우는 팔자에 갑. 을.  인.  묘의 글자가 있으면 ,초혼 인연이 고르지 못하여 두번 성혼하게 되거나 혼외의 남자를 두는 경우가 많습니다. ,if (gendr === '여음' && (sj_ganji.includes('甲') || sj_ganji.includes('乙') || sj_ganji.includes('寅') || sj_ganji.includes('卯'))){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,02b,,,,여자의 경우 갑이 월 또는 시에 있으면. ,아기 놓고 살다가도 다른 남자를 따라가는 경우가 많습니다. ,if (gendr === '여음' && (sj_mj==='甲' || sj_tj==='甲')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,03,정재는 정당한 재물의 활동이요 세속적인 관심이라 재물이 될수있는 학문에는 인내 노력이 있으나. 대체로 게으름이 오므로 학문 발휘는 보통이 됩니다. 대체로 재물과 직장을 구하기 쉬운 학문에 밝으므로 재물과 직장이 구해지면 공부에 집착하지는 않습니다,성공의 전공길 남자는 행정학. 상과. 사회과학. 교육. 자연과학이 좋습니다. ,성공의 전공길 여자는 행정학. 교육. 상과. 사회과학. 인문과학. 어학. 약학이 좋습니다. ,팔자에 목.화가 있으면. ,세월이 흐르면서 성공이 오고. ,if (nr_oh1>0 && nr_oh2>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,03a,,,,팔자에 유가 있으면 ,두뇌가 좋아 일찍 학문 발휘가 따릅니다. ,if (sj_ganji.includes('酉')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,04,지지 정재는 정당한 배우자를 의미하므로 소년 연애가 빠르지는 않으나 결혼 적령기에 결혼을 이룹니다. 배우자의 결정에 있어서 모친과의 갈등을 겪을 수도 있습니다. ,좋은 배필의 인연으로 남자는 쥐띠. 범띠. 토끼띠. 말띠. 원숭이띠. 돼지띠 여자가 됩니다. </br>남자의 경우는 현량한 배우자를 만나게 되어 평생 인연이 됨을 의미합니다. ,여자는 기본 재산이 있는 집으로 시집가게 됩니다. </br>좋은 배필의 인연으로 여자는 쥐띠. 범띠. 토끼띠. 말띠. 돼지띠 남자가 됩니다. ,여자의 경우 팔자에 화가 없으면 ,강제 결혼을 하게 될 수도 있습니다. ,if (gendr === '여음' && nr_oh2<1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,04a,,,,여자는 팔자에 갑.을이 거듭 있으면 ,남편 복이 고르지 못하여 여러 우환을 당하는 수도 있습니다 ,if (gendr === '여음' && ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,05,지지 정재는 정당한 재물. 대가를 의미하고 월급 재산의 성격을 지니고 있습니다. 고로 직장길 인연이 많고 사업길 인연이 드문 편입니다.  조직. 직장길의 경우 행정 일반공직. 교육. 일반회사. 무역관련 조직 등이 인연이 깊고. 사업길은 납품사업. 해양 수산업. 운수. 무역업. 교육사업 등이 됩니다. 기본적인 재물 복을 의미하므로 투기적인 사업이 어울리지 않고 안정적인 월급 재산이 많습니다,,,,,
己亥,06,소극적이고 안정적인 성품에 평생 안정적인 재물 수입을 의미합니다. 대체로 경제적인 문제에 있어서는 평생 다복한 편입니다.  반대로 애정문제에 있어서는 적극적인 표현이 부족하여 상대로부터 오해를 사는 경우가 많으니 주의하여야 합니다,,,,,
己亥,07,비습한 토양은 일견 명랑해도 속으로는 소심하고 사람을 기피하는 우울증을 나타날 때가 있습니다. 하는 일이 신통하지 않으면 스스로 허무는. 충동적인 기질도 있는데 타니대수와 같은 불안한 구조이기 때문입니다. 몸이 그물.  해망에 묶인 형상으로 형액수가 있으며 배우자의 부정을 보게되고 여성의 경우 배우자가 형을 당한다는 암시가 강합니다.  이 사람은 대체로 재복은 따르는 편으로 돈을 잘 쓰는 편입니다. 사상이 건전하나 내심 비밀이 있는 편이고 여행을 좋아 합니다,,,,,
己亥,08,36 己亥 (戊7 甲7 壬16)</br>胎 관귀학관(官貴學官) 의처의부(疑妻疑夫) 취명관(取命關) 곡각(曲脚)</br></br>사상이 건전하고. 의관이 단정하며 두뇌도 총명하나 내심 비밀이 있으므로 겉과 속이 다를 염려가 따른다. 재복(財福)은 있는 편으로 돈 걱정은 없으며. 인정이 많다.  흙. 돌. 바위 등이 물과 합작해서 변한 물상이니 타인에게 속기 쉽고. 고향을 떠나 객지 생활하기 쉽고 항시 먼 곳에 여행을 하고 싶은 마음이 있으며 해외출입하게 된다. 천문(天門)은 신앙에 독실(篤實)하고. 꿈이 잘 맞으므로 생활에 응용할 필요가 있다. 재(財)가 역마(驛馬)지에 임(臨)하면. 외식(外食)을 즐기게 된다.,건명(乾命)은 총명하고 건전한 귀인지상(貴人之象)으로 법관. 의사. 공직 등에서 대성(大成)하기도 하는데. 활인(活人) 계통이 아니면 일생을 통해 중년 이전에 형액(刑厄)을 당하기도 하므로 조심해야 한다.  일지(日支) 라망(羅網)은 스스로 묶는다는 암시가 있고. 亥위의 己는 불안한 구조이기 때문이다. 처(妻)는 활동적이고.  대개 처권(妻權)이 강하며 소위 마누라 잡기가 어렵다는 형이다.,곤명(坤命)은 남편을 의심하는 경우가 많고. 명암부집(明暗夫集) 되면 자식을 두고 개가(改嫁)하는 일이 있어 부부간 파란이 많은 일주(日柱)가 된다. 해중(亥中) 甲木이 남편이니 간혹 배를 타는 경우가 있고. 연애결혼에 국제결혼을 하는 수도 있다. 형(刑)의 암시가 짙으므로 배우자가 형액(刑厄)을 당하기 쉬우며. 자의(字意) 상. 항상 밖에 나가기를 즐기고. 위기에 처하면 합덕귀인(合德貴人)으로 인해 천우신조(天佑神助)의 혜택을 입어 구제된다고 한다 ,여명 시주(時柱) 己亥는 ,자식이 형(刑)을 겪는다는 암시가 있다. ,if (gendr === "여음" && sj_ganji.substr(6,2)==="己亥")){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
己亥,09,1. 비위가 약하고 허리가 아프며 겉은 명랑해도 내심 우울하고. 비밀이 있다.,2. 총각득자(總角得子)에 차중연애(車中戀愛). 국제연애(國際戀愛)를 해보는 명이다.,3. 재관이덕(財官二德)의 양처(良妻) 형이나. 탐관(貪官)으로 남편 문제로 근심이 있다 ,,,
己亥,10,,男命은 몸이 약해도 성적으로 강한 특징이 있다. 로맨틱한 분위기를 잘 연출하고. 바람둥이 기질이 있다. 과색금물(過色禁物)이다.,女命은 성에 관심이 높고 요구도 많은 반면. 간혹 자궁(子宮)의 냉증(冷症) 등으로 불감증(不感症)에 걸릴 우려가 있다 ,,,
己亥,11,건강해 보이지만. 비위가 약하고 시력과 심장이 약하다. 원인은 위장에 있으니 위장병을 다스리는 게 우선이다. 천문(天門) 지망(地網)으로 머리가 아프기도 하고. 신경 장애를 겪기도 한다.</br>己: 비장(脾臟). 배</br>亥: 머리. 고환(睾丸). 항문. 생식기 ,,,,,
己亥,12,관직. 의사. 소아과. 산부인과. 무역업. 재정. 법관. 외교. 외국상사 등의 근무가 적합하고. 관귀학관(官貴學官)으로 인해 승진이 빠른 특징이 있다. 무역. 수산. 원양어업. 또는 운수. 식품 등도 좋다,,,,,
己亥,13,◈ 일주론 해석 - 기해(己亥) 일주 </br></br>기토일간이 육친으로 정재의 글자이자. 십이운성으론 태지에 좌한 일주가 기해가 됩니다. 동시에 정재는 록지에 해당하니 이 사람은 평생 기본적인 재복이 따르게 됩니다. 또한. 부친(편재는 왕지)과의 인연도 두터운 편입니다.</br>여기에 해수에서는 갑목이 장생을 하는데 이는 정관 장생지가 되어 사상이 건전하고 의관이 단정함을 나타냅니다.(정관은 타의 모범이 되는 성분입니다.)</br>하지만 형제성인 무토 겁재는 절지가 되므로 형제는 무력한 양상입니다. 더하여 흙이 물에 잠기는 형상이라 겉은 명랑해도 속으로는 수심이 있고 토(위장)가 물에 쓸리니 비위가 약하게 됩니다.</br>또 지장간을 보면 갑목이 일간 기토와 암합을 하고 있는 구조로 일간이 처의 글자 속에서 자식과 합을 하니 다정하고 인정이 많은 편입니다. 해수 역마는 바다를 가로질러 다니는 물상이니  먼곳이나 해외를 주유하게 됩니다. </br>재성과 관성이 공히 록지와 장생으로 힘을 얻고 있어 남녀 공히 배우자에게 충실한 편으로 결혼 생활도 잘 유지해 나갑니다.(일지 정재는 정당한 배우자)</br>하지만 인수병화는 절지에 놓이므로 학업의 중단수를 보이기 쉽고. 자녀 갑목의 입장에서는 인성이 해수 역마이므로 외국으로 유학을 나가기 쉽습니다.</br>해수 천문의 글자에 라망은 수옥이 겹친 까닭인데 생사권을 쥐거나 활인업 계통이 아니면 형액을 당한다는 암시가 있습니다.</br>보통 남명은 양처와 연분을 맺습니다. 여명 또한 갑목 정관의 장생을 얻어 부덕이 있습니다.</br>그렇지만 여명은 일지에 관합을 하여 남편을 의심하는 경우가 많고. 혹 명암부집되면 자식을 두고 개가하는 일이 있을 정도로 부부간의 파란이 있습니다. 또는 타간의 기토와 장간 갑목이 암합 하는 구조에서는 남편을 두고 다투는 양상이 되어 부인의 근심이 깊습니다.</br>하지만 합덕귀인의 형세로 천우신조의 혜택이 따르므로 우여곡절 끝에 구제되는 강한 운이 있습니다.</br>끝으로 해수 역마는 돌아다니는 것에 낙이 있습니다,,,팔자에서 목화의 배합이 적절하면. ,상격이 되는데 이 경우 남자는 건전한 귀국으로 법관이나 의사. 공직 등에서 대성합니다.,if (1<nr_oh1<4 && 1<nr_oh2<4){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,01,만물을 수렴. 결실하는 기운과 태동하는 생명 활동이 있는 모양입니다. 고로. 타고 날 때부터 전문기술 재능이 있음을 의미합니다. 지지 상관은 글자 자체로 창조. 발명의 별이 되므로 창조. 발명. 기술과 관련된 분야에 학문. 직업 인연이 쉽습니다. 또한 항상 세속적인 일에 관심을 갖지만. 재능을 시장에 파는 능력이 약하므로 재능이 앞서고. 재물 운은 약하기 쉬운 모양입니다. 전문 분야에 연구 인연이면 성공이 있을 것을 의미합니다. 기가 강하여 매사에 밀어 붙이는 힘이 있으며. 두뇌도 총명하고 민첩함이 있습니다. 재주 총명이 앞서므로 평생 재물 인연은 있지만. 다른 사람을 무시하는 경향 때문에 인간관계가 어려워지는 경우가 많습니다. 기본적인 의리와 명랑성으로 성품이 원만한데 자기 것을 고집하는 것만 주의한다면 살아가면서 큰 어려움은 없습니다.  ,,여자의 경우 자기주장이 강하여 남편과 불화 하는 경우가 많으니 주의하여야 하겠습니다,팔자에 인의 글자가 있으면. ,제조. 생산 사업인연 있고 재물 번창도 있을 것을 의미합니다. ,if (sj_ganji.includes('寅')){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,02,부친인연이 깊고 모친 인연은 약할 운에 상관은 부모. 조상 자리를 깨뜨리는 별이 되므로 배우자가 오는 시점을 전후하여 부모인연 모두 약해지는 운입니다. ,남자의 경우는 미모. 학문을 갖춘 배우자 인연을 의미합니다. 남자는 대체로 딸이 많습니다. ,여자는 자식이 나고 나면 배필 인연이 좋지 못할 것을 의미합니다. 여자는 아들 딸이 고른데 자식이 많으면. 남편인연을 나쁘게 할 수도 있습니다. ,,,
庚子,03,소년 학문길 총명과 재능에 의하여 학문 발휘가 될 것을 의미합니다. 두뇌공부가 앞서면 인내 노력 공부가 저조하여 소년에는 좋은 성적을 거두어도. 세월이 흐르면서 성적이 저조하여 학마가 오는 수도 있습니다. 대체로 좋은 학교 인연이 어렵습니다,성공의 전공길 남자는 의학. 공학. 자연과학. 인문과학. 신문방송. 스포츠 등이 좋습니다.  ,성공의 전공길 여자는 의.약학. 공학. 자연과학. 신문방송. 어학. 교육. 예능 등이 좋습니다.  ,팔자에 화. 토의 글자가 있으면. ,천재성이 발휘되어 좋은 학교 인연도 가능 할 수 있습니다,if (nr_oh2>0 && nr_oh3>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,04,이성에 대한 관심으로 남녀 공히 일찍 연애가 올수 있습니다. 남자는 여자에 되한 적극적인 관심이 되고. 여자는 자기 자신의 표현력이 되므로 그로 인해 연애가 올 수 있습니다.  그러나 상관은 어른의 의견과 불화를 의미하므로 배우자 결정에 있어서 부모와 갈등이 지날 수 있습니다. ,좋은 배필 인연으로 남자는 쥐띠. 소띠. 토끼띠. 용띠. 양띠. 원숭이띠. 돼지띠 여자가 좋은 인연입니다.  </br>남자의 경우 처와 유정하여 배필 인연이 무난합니다. ,좋은 배필 인연으로 여자는 쥐띠. 소띠. 용띠. 뱀띠. 원숭이띠. 개띠 남자가 좋은 인연입니다.  </br>여자는 자식이 나고 나면 배필 인연이 멀어 지는 것을 의미하므로. 자식이 오고 나서 배필 고통이 오는 수가 많습니다. ,,,
庚子,05,항상 재주. 재능과 관련된 곳에서 직업을 이루는 운입니다. 조직 직장길은 연구직. 교육. 전문기술직. 의약관련 분야 등이 되고. 사업길은 전문기술 사업 (생물. 식품. 토목. 건축 등) 의약관련 자격사업. 오락사업. 식품사업. 장식 인테리어업 등이 좋습니다. 기술사업 인연이면 평생 식록은 순조로울 것을 의미합니다,,,5. 팔자에 화가 있으면. ,전문기술로 조직. 직장길이 좋습니다. ,if (nr_oh2>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,05a,,,,목이 있으면. ,전문 기술사업 인연이 쉽습니다. ,if (nr_oh1>0){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,05b,,,,팔자에 목이 없으면. ,재주. 재능은 강한데 장사 재주가 부족하므로 재능에 비해 재물 번창은 약한 편입니다. ,if (nr_oh1<1){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,06,지지 상관은 재능과 두뇌로써 만인의 지도자를 이루는 모양이라. 타인의 말을 무시하는 경향 때문에 항상 인간관계가 매끄럽지 못할 수 있으니 주의를 요합니다. ,,,팔자에 화. 토의 글자가 잘 소통되어 있으면. ,검. 경찰. 무관의 직업으로 평생의 직업을 이룹니다. ,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,06a,,,,화. 토가 매끄럽지 못하면. ,전문 기술로써 평생의 업을 삼습니다. ,if (ilj === lsts[i][0]){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,06b,,,,오년이 오면 ,남녀 공히 배필과 갈등이 지날 수 있습니다,if (hn_yj === '午'){ txt_tts += '</br>--->⊙ ' + lsts[i][5] + lsts[i][6];};
庚子,07,물에 가라앉은 금은 쓸모가 없어진 상황을 의미합니다. 그래서 이 사람은 외화내빈하기 쉽고 겉은 견고하고 화려할지언정 내면은 늘 고독한 기운이 감돌게 됩니다. 쥐가 곡창이 아닌 계곡에 있으니 유시무종의 결과를 보기 쉽습니다. 싫증이나 권태를 빨리 느끼는 형으로 뇌봉뇌별할 정도니 후할 때는 한없이 후하나. 인색할 때는 더없이 인색하게 굽니다.  이 사람은 시비를 가리는 예리한 비판력을 지녔으며 의리와 청백한 면에 있어서는 높이 살만합니다.  하극상의 기질이 있으며 귀가 얇고 정이 많아 보증 등으로 손해를 볼 수도 있습니다,,,,,
庚子,08,37 庚子 (壬10 癸20)</br>死 상관사궁(傷官死宮) 낙정관(落井關)</br></br>의리지상(義理之象)이라. 의리가 있고 강자에 강하며. 약자에 약한 유형이다. 일지(日支) 상관(傷官)은 하극상(下剋上)의 기질을 내포하고 있으며. 의약계. 방송언론계. 교육자에서 주로 발견되는 일주(日柱). 예리한 비판력을 갖추고 있으며 다재다능(多才多能)하고 문장이나 언어가 수려한 특징이 있다. 금한수냉(金寒水冷)은 외화내빈(外華內貧)의 상으로 겉은 견고하고 화려할지언정 내면은 늘 고독한 기운이 감돌게 된다.</br>간혹 주위를 생각지 않고 자신의 주장만 하는 경우나 본의 아니게 타인의 마음에 말로써 상처를 입히는 경향이 있다. 청백(淸白)함은 높이 살만하나. 고립을 자초하는 동기가 되며. 경원(敬遠)의 대상이 되기도 한다. 쥐가 곡창에 있지 아니하고 절벽에 있는 상이니 유시무종(有始無終)이 되기 쉽다. 마음이 고르지 못하고 인색할 때는 한없이 인색한 냉정한 면이 있으나 후할 때는 한없이 후하다. 자신에게 필요하면 아주 잘하고. 이익이 없으면 냉혹한 면을 띄기도 한다. 상관(傷官)이 제화(制化)됨이 없이 조습(燥濕)의 균형이 깨지면 이기심과 질투심 등의 작용이 강하게 일어난다.,상관도화(傷官桃花)는 처(妻)의 미모를 의미하고. 처궁(妻宮)이 약간 불안한 편으로 색난(色難)의 조짐을 보이기도 하나 배우자에게 잘 하는 편이다. ,여성은 대개 피부가 희고 고운 미인 형이 많다. 총명하고 신경이 예민한 편으로 남편을 능멸하는 속성이 있고. 이기적인 유형이다. 자칫하면 뇌봉뇌별(雷逢雷別)이라. 싫증이나 권태를 빨리 느끼는 형이다. 자손궁도 부실한 편인데 이는 화관(火官)이 金水에 빠지기 때문이다. 곤명(坤命)은 남편의 덕이 없고. 상관사궁(傷官死宮)은 남편을 추방하고 내 주장하면서 사는 것을 의미한다. 이성을 보는 눈은 높으나. 실제 남편은 기대 이하로 나타나기 십상이다. 남편의 자리에 자식이 있는 형국으로 남편의 부족함을 자식으로 채우려한다. 득자부별(得子夫別)이 두려운 것이다. ,,,
庚子,09,1. 이박(耳薄)이라. 인정이 많아 보증 등으로 인해 손해를 보거나. 이용당하는 경우가 있다.</br>2. 옳고 그름을 잘 따지며. 금수쌍청(金水雙淸)의 고고(孤高)한 성품을 지녀 외로운 격이다.,,3. 여성은 자궁이 약해 생리가 불순한 편이고(冷帶下症). 출산 후 병을 얻기 쉽다 ,,,
庚子,10,,男命은 대개 지속력이 강하여 여성에게 사랑과 인정을 받게 된다. 미인이 많이 따르는 편이지만 오래가지는 않는다. 하초(下焦)가 습하여 고생하는 수가 있다. ,女命은 섹스를 좋아하는 편이고. 인정이 많다. 때로 자신만 만족하면 그만 이라는 생각으로 상대에 대한 서비스 정신이 없을 때가 있다. 출산 후에는 대하(帶下)가 심해 불감증(不感症)이 심해져 파트너로부터 환영받지 못하는 경우가 종종 있다. ,,,
庚子,11,庚子일주는 금침(金沈)으로 수액(水厄)을 조심해야 하고. 동상. 풍질(風疾). 호흡기. 폐 계통의 질환에 유의해야 한다. 화기(火氣)가 태약(太弱)하면 뇌출혈 등을 겪을 수 있다. </br>庚: 대장(大腸). 배꼽</br>子: 방광(膀胱). 음부(陰部). 요도(尿道). 귀(耳) ,,여성은 자궁이 약하기 십상이다.,,,
庚子,12,일지(日支) 장성(將星)으로 권력 계통에 인연을 두는 경우가 종종 있고. 식상(食神)의 성분으로 인해 예술계. 방송언론계. 교육계 등으로 진출하는 경우가 많다. 절벽 아래 흐르는 물의 형상은 종교. 철학에 심취하는 경향을 의미하기도 한다,,,,,
